query,answer,rec_api,rank,original_rank
How do I copy a 2 Dimensional array in Java,"['java.lang.System.arraycopy', 'java.util.Arrays.copyOf']","['java.lang.System.arraycopy', 'java.util.Arrays.deepEquals', 'java.util.Arrays.deepToString', 'java.util.Arrays.asList', 'java.lang.Object.clone', 'java.util.Arrays.equals', 'java.util.ArrayList.toArray', 'java.util.Arrays.toString', 'java.util.Arrays.sort', 'java.lang.Class.isArray']",1,1
Checking for a null int value from a Java ResultSet,['java.sql.ResultSet.getInt'],"['java.sql.ResultSet.getLong', 'java.util.Optional.ofNullable', 'java.sql.ResultSet.first', 'java.sql.ResultSet.isBeforeFirst', 'java.sql.ResultSet.next', 'java.lang.Integer.parseInt', 'java.lang.Integer.toString', 'java.lang.Integer.valueOf', 'java.util.Objects.isNull', 'java.lang.String.valueOf']",-1,7
How to check if internet connection is present in java,"['java.net.InetAddress.isReachable', 'java.net.URL.openConnection']","['java.net.InetAddress.getByName', 'java.net.InetAddress.isReachable', 'java.sql.DriverManager.getConnection', 'java.awt.Desktop.isSupported', 'java.lang.Class.forName', 'java.util.Locale.getDefault', 'java.sql.Connection.isValid', 'java.sql.Connection.close', 'java.net.ServerSocket.accept', 'java.nio.file.Files.exists']",2,2
Replacing single '\' with '\\' in Java,"['java.lang.String.replace', 'java.lang.String.replaceAll']","['java.lang.String.replace', 'java.lang.String.replaceAll', 'java.io.BufferedWriter.newLine', 'java.util.regex.Matcher.quoteReplacement', 'java.util.regex.Matcher.replaceAll', 'java.io.BufferedReader.readLine', 'java.lang.String.split', 'java.util.regex.Matcher.appendReplacement', 'java.util.regex.Pattern.quote', 'java.util.regex.Matcher.appendTail']",1,1
Add elements to a List while iterating over it. (Java),['java.util.List.listIterator'],"['java.util.List.iterator', 'java.util.List.listIterator', 'java.util.HashMap.values', 'java.util.ArrayList.set', 'java.util.Iterator.next', 'java.util.List.get', 'java.util.Collection.iterator', 'java.util.Iterator.remove', 'java.util.LinkedList.listIterator', 'java.util.Map.entrySet']",2,1
Calling System.gc( ) explicitly,['java.lang.System.gc'],"['java.lang.System.gc', 'java.lang.Runtime.gc', 'java.lang.System.exit', 'java.lang.Object.finalize', 'java.lang.System.runFinalization', 'java.lang.System.0oTime', 'java.lang.Thread.sleep', 'java.lang.Runtime.addShutdownHook', 'java.lang.Runtime.getRuntime', 'java.io.File.createTempFile']",1,1
Compare two arrays of primitives in Java,['java.util.Arrays.equals'],"['java.util.Arrays.equals', 'java.util.Arrays.deepEquals', 'java.lang.System.arraycopy', 'java.util.Arrays.deepToString', 'java.lang.Integer.intValue', 'java.util.Arrays.sort', 'java.lang.Integer.valueOf', 'java.lang.String.equals', 'java.util.Arrays.toString', 'java.time.LocalDate.equals']",1,1
How can I get the current date and time in UTC or GMT in Java,['java.util.Date.toString'],"['java.util.Date.toString', 'java.util.TimeZone.getDefault', 'java.lang.System.currentTimeMillis', 'java.util.Calendar.getInstance', 'java.util.TimeZone.getTimeZone', 'java.time.ZonedDateTime.now', 'java.time.Instant.now', 'java.time.LocalDateTime.now', 'java.time.LocalDate.now', 'java.time.OffsetDateTime.now']",1,8
How to name a variable that is a copy of a parameter,['java.util.Arrays.copyOf'],"['java.lang.Class.getDeclaredField', 'java.lang.Class.getField', 'java.lang.System.arraycopy', 'java.util.Arrays.copyOf', 'java.lang.Class.isInstance', 'java.lang.reflect.Field.get', 'java.lang.Class.forName', 'java.lang.String.format', 'java.lang.Object.clone', 'java.lang.reflect.Field.set']",4,4
Garbage collector in Android,['java.lang.System.gc'],"['java.lang.System.gc', 'java.lang.Object.finalize', 'java.util.logging.LogManager.addLogger', 'java.lang.Runtime.getRuntime', 'java.lang.Runtime.gc', 'java.lang.Thread.setDaemon', 'java.lang.Thread.start', 'java.lang.Object.wait', 'java.util.Collections.synchronizedList', 'java.util.Arrays.asList']",1,1
Java 7 default locale,['java.util.Locale.getDefault'],"['java.util.Locale.getDefault', 'javax.swing.JComponent.setDefaultLocale', 'java.util.Locale.setDefault', 'javax.xml.parsers.DocumentBuilderFactory.newInstance', 'java.util.Locale.getISOCountries', 'java.io.ByteArrayOutputStream.toString', 'java.util.Locale.getAvailableLocales', 'java.time.format.DateTimeFormatter.ofPattern', 'java.lang.String.getBytes', 'java.time.ZonedDateTime.now']",1,1
Equals operator for zeros (BigDecimal / Double) in Java,['java.math.BigDecimal.equals'],"['java.lang.Double.compareTo', 'java.lang.Math.ceil', 'java.lang.Double.compare', 'java.math.BigDecimal.equals', 'java.lang.Integer.valueOf', 'java.lang.Math.abs', 'java.lang.Double.equals', 'java.lang.Math.floor', 'java.math.BigDecimal.stripTrailingZeros', 'java.lang.Math.round']",4,9
java: How to fix the Unchecked cast warning,['java.lang.Class.cast'],"['java.lang.Class.asSubclass', 'java.lang.Integer.parseInt', 'java.lang.Class.cast', 'java.lang.Class.forName', 'null', 'java.util.Collections.shuffle', 'null', 'null', 'java.lang.String.isEmpty', 'null']",3,2
Removing range (tail) from a List,['java.util.List.subList'],"['java.util.List.subList', 'java.util.List.remove', 'java.util.Collection.remove', 'java.util.Map.keySet', 'java.util.Arrays.asList', 'java.util.ArrayList.remove', 'java.util.Iterator.remove', 'java.util.List.get', 'java.util.Set.retainAll', 'java.util.NavigableMap.subMap']",1,2
How to convert a Binary String to a base 10 integer in Java,['java.lang.Integer.parseInt'],"['java.lang.Integer.parseInt', 'javax.xml.bind.DatatypeConverter.printHexBinary', 'java.lang.Integer.toBinaryString', 'java.lang.Integer.valueOf', 'java.lang.Long.valueOf', 'java.lang.Long.toHexString', 'java.lang.Double.toString', 'java.lang.Integer.toString', 'java.lang.String.valueOf', 'java.lang.Long.parseLong']",1,1
How to get string value from a Java field via reflection,['java.lang.reflect.Field.get'],"['java.util.Map.entrySet', 'java.lang.reflect.Field.get', 'java.lang.Class.getDeclaredConstructors', 'java.lang.Class.getDeclaredConstructor', 'java.lang.reflect.Field.getType', 'java.lang.reflect.Array.get', 'java.lang.reflect.Field.set', 'java.lang.Class.getDeclaredFields', 'java.lang.reflect.Field.getModifiers', 'java.lang.reflect.Array.set']",2,1
Concatenating null strings in Java,['java.lang.String.valueOf'],"['java.lang.String.valueOf', 'java.lang.StringBuilder.append', 'java.lang.String.concat', 'java.lang.Character.toString', 'java.lang.String.intern', 'java.lang.String.format', 'java.lang.String.equals', 'java.util.Arrays.toString', 'java.lang.Integer.toString', 'java.lang.Double.toString']",1,1
Linking static library with JNI,['java.lang.System.loadLibrary'],"['java.lang.System.loadLibrary', 'java.lang.System.load', 'java.lang.Class.getFields', 'java.lang.System.mapLibraryName', 'java.lang.Runtime.loadLibrary', 'java.lang.Class.forName', 'java.math.BigDecimal.divide', 'java.lang.System.gc', 'java.lang.System.arraycopy', 'java.lang.Class.newInstance']",1,1
Round up BigDecimal to Integer value,['java.math.BigDecimal.setScale'],"['java.math.BigDecimal.setScale', 'java.lang.Math.round', 'java.text.DecimalFormat.setRoundingMode', 'java.math.BigDecimal.divide', 'java.math.BigDecimal.valueOf', 'java.lang.Math.ceil', 'java.math.BigDecimal.round', 'java.math.BigDecimal.intValueExact', 'java.lang.Integer.valueOf', 'java.lang.Math.floor']",1,6
How can I stop a Java while loop from eating >50% of my CPU,"['java.lang.Thread.sleep', 'java.lang.System.currentTimeMillis']","['java.lang.Thread.stop', 'java.lang.Object.wait', 'java.lang.Thread.suspend', 'java.lang.Thread.sleep', 'java.lang.Thread.interrupt', 'java.lang.Object.notifyAll', 'java.lang.Thread.interrupted', 'java.lang.System.currentTimeMillis', 'java.lang.Thread.isInterrupted', 'java.util.Collections.synchronizedList']",4,4
Convert Set to List without creating new List,['java.util.List.addAll'],"['java.util.EnumSet.allOf', 'java.util.List.toArray', 'java.util.Set.toArray', 'java.util.Collections.list', 'java.util.Arrays.toString', 'java.util.Collections.unmodifiableList', 'java.util.Iterator.next', 'java.util.Arrays.asList', 'java.util.Map.keySet', 'java.util.stream.Collectors.toList']",-1,8
How to rotate text with Graphics2D in Java,"['java.awt.Graphics2D.getTransform', 'java.awt.Graphics2D.rotate']","['java.awt.Graphics2D.rotate', 'java.awt.geom.AffineTransform.getRotateInstance', 'java.awt.Graphics.drawLine', 'java.awt.Graphics.create', 'java.awt.font.TextLayout.draw', 'java.awt.Graphics.dispose', 'java.awt.geom.Path2D.transform', 'java.awt.Graphics2D.fill', 'java.awt.geom.AffineTransform.createTransformedShape', 'java.awt.Graphics.fillRect']",1,1
Changing Java PriorityQueue to a Max PQ,['java.util.Collections.reverseOrder'],"['java.util.Collections.reverseOrder', 'java.util.Arrays.asList', 'java.util.Collection.toArray', 'java.util.PriorityQueue.comparator', 'java.util.Collections.reverse', 'java.util.Arrays.sort', 'java.util.Collections.max', 'java.util.Collections.min', 'java.util.Collections.sort', 'java.util.Collection.add']",1,1
How can I abort a running JDBC transaction,"['java.sql.Connection.rollback', 'java.sql.Statement.cancel']","['java.sql.Connection.abort', 'java.lang.Thread.stop', 'java.sql.Connection.prepareStatement', 'java.sql.Connection.commit', 'java.sql.Connection.createStatement', 'java.sql.Statement.executeBatch', 'java.lang.Thread.suspend', 'java.sql.Statement.setQueryTimeout', 'java.lang.Thread.interrupted', 'java.lang.Thread.interrupt']",-1,5
How Object objects return Strings? (Java),['java.lang.Object.toString'],"['java.lang.Class.getName', 'java.lang.String.valueOf', 'java.lang.Object.toString', 'java.lang.String.equals', 'java.lang.Integer.valueOf', 'java.util.List.remove', 'java.util.Arrays.toString', 'java.lang.Class.forName', 'java.lang.Integer.parseInt', 'java.lang.Class.isInstance']",3,9
"How to wait for all threads to finish, using ExecutorService","['java.util.concurrent.ExecutorService.awaitTermination', 'java.util.concurrent.ExecutorService.shutdown']","['java.lang.Thread.join', 'java.util.concurrent.ExecutorService.shutdownNow', 'java.util.concurrent.ExecutorService.shutdown', 'java.util.concurrent.Future.get', 'java.util.concurrent.ExecutorService.awaitTermination', 'java.util.concurrent.ThreadPoolExecutor.shutdown', 'java.util.concurrent.Executors.newFixedThreadPool', 'java.util.concurrent.ExecutorService.submit', 'java.util.concurrent.Future.cancel', 'java.util.concurrent.Executors.newSingleThreadExecutor']",3,4
Calculate the display width of a string in Java,"['java.awt.Graphics.getFontMetrics', 'java.awt.FontMetrics.stringWidth']","['java.awt.FontMetrics.stringWidth', 'java.lang.String.length', 'java.awt.Graphics.getFontMetrics', 'java.lang.Integer.parseInt', 'java.lang.Integer.valueOf', 'java.lang.String.valueOf', 'java.lang.Character.codePointCount', 'java.util.BitSet.size', 'java.lang.Double.parseDouble', 'java.lang.Float.parseFloat']",1,1
Initializing a boolean array to false,['java.util.Arrays.fill'],"['java.util.Arrays.fill', 'java.lang.Boolean.parseBoolean', 'java.lang.Boolean.booleanValue', 'java.lang.Boolean.valueOf', 'java.lang.String.equals', 'java.util.Map.put', 'java.lang.Boolean.getBoolean', 'java.util.Collections.nCopies', 'java.lang.String.toCharArray', 'java.util.Map.get']",1,1
How to show full stack trace on eclipse,['java.lang.Throwable.printStackTrace'],"['java.lang.Throwable.printStackTrace', 'java.lang.Throwable.fillInStackTrace', 'java.lang.Thread.dumpStack', 'java.util.logging.SimpleFormatter.format', 'java.lang.Throwable.getStackTrace', 'java.lang.StackTraceElement.getFileName', 'java.lang.Thread.getAllStackTraces', 'java.lang.Thread.currentThread', 'java.lang.Thread.getStackTrace', 'java.lang.System.gc']",1,4
How to convert date format to milliseconds,['java.util.Date.getTime'],"['java.util.Date.getTime', 'java.text.DateFormat.getDateInstance', 'java.time.Instant.toEpochMilli', 'java.time.Instant.toString', 'java.text.DateFormat.getDateTimeInstance', 'java.time.LocalDate.parse', 'java.time.ZoneId.systemDefault', 'java.text.SimpleDateFormat.format', 'java.time.ZonedDateTime.parse', 'java.time.Instant.ofEpochMilli']",1,1
How to find and stop all currently running threads,"['java.lang.Thread.interrupt', 'java.lang.Thread.stop']","['java.lang.Thread.stop', 'java.lang.Thread.interrupt', 'java.lang.Thread.currentThread', 'java.lang.Thread.suspend', 'java.lang.Thread.start', 'java.util.concurrent.ThreadPoolExecutor.shutdownNow', 'java.util.concurrent.ExecutorService.shutdownNow', 'java.util.concurrent.ExecutorService.awaitTermination', 'java.lang.Object.wait', 'java.lang.Thread.setDaemon']",1,2
How to Convert a Java 8 Stream to an Array,['java.util.stream.Stream.toArray'],"['java.lang.Integer.valueOf', 'java.util.Arrays.stream', 'java.util.stream.Stream.toArray', 'java.util.stream.Stream.generate', 'java.util.stream.Stream.of', 'java.util.stream.IntStream.boxed', 'java.util.stream.LongStream.mapToObj', 'java.util.stream.IntStream.asLongStream', 'java.util.Arrays.toString', 'java.nio.file.Files.lines']",3,3
How can I check if a single character appears in a string,['java.lang.String.indexOf'],"['java.lang.String.indexOf', 'java.lang.Integer.parseInt', 'java.util.regex.Pattern.quote', 'java.lang.String.contains', 'java.lang.Character.isLetterOrDigit', 'java.lang.StringBuilder.deleteCharAt', 'java.lang.Character.isDigit', 'java.lang.String.toCharArray', 'java.lang.Long.parseLong', 'java.lang.Character.UnicodeBlock.of']",1,7
Java garbage collection,['java.lang.System.gc'],"['java.lang.System.gc', 'java.lang.Runtime.gc', 'java.lang.Object.finalize', 'java.util.Collections.synchronizedList', 'java.util.Arrays.fill', 'java.lang.Thread.setDaemon', 'java.lang.String.intern', 'java.lang.Runtime.getRuntime', 'java.lang.Class.forName', 'java.lang.Long.valueOf']",1,1
Instantiating an inner class,['java.lang.Class.newInstance'],"['java.lang.Class.getConstructor', 'java.lang.Class.newInstance', 'java.lang.Class.getConstructors', 'java.lang.Class.getDeclaringClass', 'java.lang.System.currentTimeMillis', 'java.lang.Class.getDeclaredConstructor', 'java.lang.reflect.Constructor.newInstance', 'java.lang.Class.getDeclaredMethods', 'java.util.Arrays.toString', 'java.lang.reflect.AccessibleObject.setAccessible']",2,4
Java ResultSet - get Column name based on Index,['java.sql.ResultSet.getMetaData'],"['java.sql.ResultSet.getMetaData', 'java.lang.String.charAt', 'java.sql.ResultSetMetaData.getColumnName', 'java.sql.ResultSetMetaData.getTableName', 'java.sql.ResultSetMetaData.getColumnLabel', 'java.sql.DatabaseMetaData.getIndexInfo', 'javax.swing.JTable.getValueAt', 'javax.swing.JTable.convertRowIndexToModel', 'java.lang.String.codePointAt', 'java.time.LocalDate.getDayOfYear']",1,1
Is there a way to instantiate a class by name in Java,['java.lang.Class.forName'],"['java.lang.Class.forName', 'java.lang.Class.newInstance', 'java.lang.reflect.Method.invoke', 'java.lang.Class.getDeclaredMethod', 'java.lang.ClassLoader.loadClass', 'java.lang.Class.getDeclaredFields', 'java.lang.ClassLoader.getSystemClassLoader', 'java.lang.reflect.Constructor.newInstance', 'java.lang.Class.isInstance', 'java.util.Collection.iterator']",1,1
Test if a string contains any of the strings from an array,['java.lang.String.matches'],"['java.lang.String.indexOf', 'java.lang.String.matches', 'java.lang.String.contains', 'java.util.List.containsAll', 'java.util.Arrays.equals', 'java.util.Arrays.toString', 'java.util.Arrays.binarySearch', 'java.util.Arrays.asList', 'java.lang.String.toCharArray', 'java.lang.String.valueOf']",2,10
How to get file size in Java,['java.io.File.length'],"['java.io.File.length', 'java.nio.file.Files.walkFileTree', 'java.io.File.list', 'java.nio.file.Files.size', 'java.nio.file.Files.walk', 'java.nio.file.Files.copy', 'java.nio.file.Files.newDirectoryStream', 'java.io.File.listFiles', 'java.awt.event.ComponentListener.componentResized', 'java.awt.image.BufferedImage.getWidth']",1,2
java hashmap key iteration,"['java.util.Map.keySet', 'java.util.Map.entrySet', 'java.util.Map.values']","['java.util.NavigableMap.subMap', 'java.util.Map.values', 'java.util.stream.Collectors.toMap', 'java.util.Map.containsKey', 'java.util.HashMap.entrySet', 'java.lang.Object.hashCode', 'java.util.Map.keySet', 'java.lang.System.identityHashCode', 'java.util.Collection.toArray', 'java.util.List.equals']",2,1
Java Fastest way to read through text file with 2 million lines,['java.io.BufferedReader.readLine'],"['java.io.BufferedReader.readLine', 'java.nio.channels.FileChannel.read', 'java.nio.file.Files.lines', 'java.lang.String.split', 'java.nio.file.Files.copy', 'javax.imageio.ImageIO.setUseCache', 'java.nio.file.Files.newInputStream', 'java.io.BufferedReader.lines', 'java.nio.ByteBuffer.getLong', 'java.nio.channels.FileChannel.map']",1,1
Merge 3 arraylist to one,"['java.util.Arrays.asList', 'java.util.stream.Stream.collect', 'java.util.ArrayList.addAll']","['java.util.Arrays.sort', 'java.util.Arrays.asList', 'java.lang.System.arraycopy', 'java.util.Collections.sort', 'java.util.List.subList', 'java.util.Collections.shuffle', 'java.util.List.add', 'java.util.Set.toArray', 'java.util.ArrayList.addAll', 'java.util.Map.merge']",2,8
How can I create a stream from an array,"['java.util.Arrays.stream', 'java.util.stream.Stream.of']","['java.util.Arrays.stream', 'java.util.stream.Stream.toArray', 'java.util.stream.Stream.empty', 'java.util.stream.Stream.of', 'java.util.stream.IntStream.mapToObj', 'java.lang.System.arraycopy', 'java.util.stream.Stream.generate', 'java.nio.file.Files.lines', 'java.lang.String.toCharArray', 'java.util.Arrays.toString']",1,1
initializing a boolean array in java,"['java.util.Arrays.fill', 'java.lang.Boolean.FALSE']","['java.util.Arrays.fill', 'java.lang.Boolean.booleanValue', 'java.util.Arrays.asList', 'java.lang.String.toCharArray', 'java.util.Arrays.toString', 'java.lang.String.charAt', 'java.lang.System.arraycopy', 'java.util.Map.get', 'java.lang.Class.getConstructor', 'java.lang.Class.forName']",1,1
Get java.nio.file.Path object from java.io.File,['java.io.File.toPath'],"['java.io.File.toPath', 'java.lang.ClassLoader.getResource', 'java.nio.file.FileSystems.getDefault', 'java.nio.file.Paths.get', 'java.nio.file.Files.move', 'java.nio.file.Files.copy', 'java.nio.file.Files.deleteIfExists', 'java.nio.file.Files.delete', 'java.nio.file.FileSystem.getPath', 'java.io.File.list']",1,1
How to get concrete type of a generic interface,"['java.lang.reflect.ParameterizedType.getActualTypeArguments', 'java.lang.Class.getGenericInterfaces']","['java.lang.Class.getGenericInterfaces', 'java.lang.reflect.Method.getGenericReturnType', 'java.lang.Class.forName', 'null', 'java.lang.Object.getClass', 'null', 'null', 'null', 'java.lang.reflect.Method.getParameterAnnotations', 'javax.xml.bind.JAXBContext.newInstance']",1,1
Cast Object to Generic Type for returning,['java.lang.Class.cast'],"['java.lang.Class.cast', 'java.lang.Class.isInstance', 'java.util.ArrayList.toArray', 'java.lang.String.valueOf', 'java.lang.reflect.Array.newInstance', 'java.util.Collection.toArray', 'java.lang.Object.toString', 'java.lang.reflect.Constructor.newInstance', 'java.lang.System.arraycopy', 'java.util.Arrays.asList']",1,1
Combine stream of Collections into one Collection - Java 8,['java.util.stream.Stream.flatMap'],"['java.util.stream.Stream.of', 'java.util.stream.Stream.concat', 'java.util.stream.Stream.collect', 'java.util.concurrent.CopyOnWriteArrayList.spliterator', 'java.util.stream.Collectors.toList', 'java.util.stream.Stream.flatMap', 'java.util.stream.Collectors.toMap', 'java.util.stream.Collectors.groupingBy', 'java.util.stream.Collectors.mapping', 'java.util.stream.Stream.map']",6,1
Accessing non-visible classes with reflection,['java.lang.Class.forName'],"['java.lang.Class.getDeclaredClasses', 'java.lang.Class.getDeclaredFields', 'java.lang.Class.getDeclaredMethod', 'java.lang.reflect.Constructor.newInstance', 'java.lang.Object.clone', 'java.lang.Class.forName', 'java.lang.Class.getConstructor', 'java.lang.Class.newInstance', 'java.lang.reflect.Field.get', 'java.lang.Class.getMethod']",6,5
Precise time measurement in Java,"['java.lang.System.currentTimeMillis', 'java.lang.System.nanoTime']","['java.lang.System.currentTimeMillis', 'java.lang.Math.sin', 'java.time.LocalDateTime.of', 'java.lang.System.0oTime', 'java.math.BigDecimal.scale', 'java.time.ZonedDateTime.now', 'java.time.LocalDateTime.now', 'java.lang.Thread.sleep', 'java.math.BigDecimal.precision', 'java.time.Clock.tickMinutes']",1,1
Comparing strings by their alphabetical order,['java.lang.String.compareTo'],"['java.lang.String.compareTo', 'java.util.Collections.sort', 'java.util.Arrays.sort', 'java.lang.String.valueOf', 'java.lang.String.equals', 'java.lang.Integer.compare', 'java.lang.String.toCharArray', 'java.lang.Integer.equals', 'java.lang.Character.toString', 'java.lang.String.contains']",1,1
Java - How to format a number to a 2 char string,['java.lang.String.format'],"['java.lang.String.format', 'java.text.DecimalFormat.format', 'java.lang.String.toCharArray', 'java.lang.String.charAt', 'java.lang.StringBuilder.append', 'java.lang.StringBuilder.insert', 'java.lang.String.valueOf', 'javax.xml.bind.DatatypeConverter.printHexBinary', 'java.lang.Character.toString', 'java.text.MessageFormat.format']",1,1
Convert from Radians to Degrees in Java,['java.lang.Math.toDegrees'],"['java.lang.Math.toDegrees', 'java.lang.Math.toRadians', 'java.lang.Float.toString', 'java.lang.Math.atan', 'java.lang.Math.atan2', 'java.lang.Math.acos', 'java.lang.Math.cos', 'java.time.Instant.ofEpochMilli', 'java.lang.Math.tan', 'java.lang.Math.sin']",1,2
Append relative URL to java.net.URL,['java.net.URL.toURI'],"['java.net.URL.getPath', 'java.io.File.toURL', 'java.net.URL.equals', 'java.net.URL.setURLStreamHandlerFactory', 'java.lang.Class.getResource', 'java.lang.ClassLoader.findResource', 'java.net.URL.openStream', 'java.nio.file.Paths.get', 'java.lang.Integer.parseInt', 'java.nio.file.Path.relativize']",-1,10
Correct way to synchronize ArrayList in java,['java.util.Collections.synchronizedList'],"['java.util.Collections.synchronizedList', 'java.util.Collections.reverse', 'java.util.Collections.sort', 'java.lang.Thread.join', 'java.util.Collections.synchronizedMap', 'java.util.Collections.synchronizedCollection', 'java.util.Collections.synchronizedSet', 'java.util.Arrays.asList', 'java.util.List.add', 'java.util.Collections.unmodifiableMap']",1,1
How to find out which object currently has focus,['java.awt.Window.getFocusOwner'],"['java.awt.Window.getFocusOwner', 'java.awt.KeyboardFocusManager.getCurrentKeyboardFocusManager', 'java.lang.Thread.stop', 'java.lang.String.intern', 'java.lang.Thread.currentThread', 'java.lang.reflect.Field.getType', 'java.util.ArrayList.add', 'javax.swing.JComponent.setComponentPopupMenu', 'java.lang.Object.toString', 'java.util.Objects.requireNonNull']",1,1
How to convert BigDecimal to Double in Java,['java.math.BigDecimal.doubleValue'],"['java.math.BigDecimal.valueOf', 'java.math.BigDecimal.intValue', 'java.lang.Double.toString', 'java.math.BigDecimal.intValueExact', 'java.lang.Integer.valueOf', 'java.lang.Float.toString', 'java.text.DecimalFormat.setParseBigDecimal', 'java.lang.Integer.toString', 'java.lang.String.valueOf', 'java.lang.Double.parseDouble']",-1,5
Java: splitting the filename into a base and extension,['java.lang.String.split'],"['java.lang.String.split', 'java.io.File.getName', 'java.lang.String.replaceAll', 'java.util.Arrays.asList', 'java.util.regex.Pattern.split', 'java.util.regex.Pattern.quote', 'java.lang.String.substring', 'java.lang.String.endsWith', 'java.lang.String.startsWith', 'java.lang.System.lineSeparator']",1,1
How to add new System Properties in java,['java.lang.System.setProperty'],"['java.lang.System.setProperties', 'java.lang.SecurityManager.checkPropertyAccess', 'java.lang.System.getProperties', 'java.lang.System.getenv', 'java.lang.System.setProperty', 'java.lang.System.getProperty', 'java.lang.System.clearProperty', 'java.nio.file.Files.newByteChannel', 'java.lang.ProcessBuilder.environment', 'java.nio.channels.FileChannel.open']",5,3
LocalDate to java.util.Date and vice versa simplest conversion,"['java.sql.Date.toLocalDate', 'java.sql.Date.valueOf']","['java.sql.Date.valueOf', 'java.time.ZonedDateTime.ofInstant', 'java.util.Date.toInstant', 'java.time.ZoneId.systemDefault', 'java.sql.PreparedStatement.setTimestamp', 'java.time.LocalDateTime.parse', 'java.text.DateFormat.format', 'java.time.LocalDate.of', 'java.time.LocalDateTime.of', 'java.time.LocalDate.parse']",1,4
Java: function for arrays like PHP's join(),['java.lang.String.join'],"['java.util.Arrays.asList', 'java.lang.String.join', 'java.lang.Thread.join', 'java.lang.Integer.valueOf', 'java.text.MessageFormat.format', 'java.util.Arrays.binarySearch', 'java.lang.Thread.run', 'java.util.Arrays.sort', 'javax.swing.SwingUtilities.invokeLater', 'java.util.regex.Matcher.find']",2,1
How can I find whitespace space in a String,['java.lang.String.matches'],"['java.lang.String.indexOf', 'java.lang.String.matches', 'java.lang.String.split', 'java.lang.Character.isSpaceChar', 'java.lang.String.toCharArray', 'java.lang.Byte.parseByte', 'java.lang.Short.parseShort', 'java.util.Arrays.toString', 'java.lang.StringBuilder.append', 'java.lang.String.replaceAll']",2,6
How can I measure the speed of code written in Java? (AI algorithms),['java.lang.System.currentTimeMillis'],"['java.lang.Thread.sleep', 'java.lang.System.0oTime', 'java.lang.System.currentTimeMillis', 'java.lang.Integer.parseInt', 'java.lang.Math.random', 'java.util.Arrays.sort', 'java.lang.Runtime.availableProcessors', 'java.lang.Integer.valueOf', 'java.lang.Math.log', 'java.lang.System.gc']",3,2
Set specific precision of a BigDecimal,['java.math.BigDecimal.setScale'],"['java.math.BigDecimal.precision', 'java.math.BigDecimal.scale', 'java.math.BigDecimal.toPlainString', 'java.math.BigDecimal.unscaledValue', 'java.math.BigDecimal.add', 'java.math.BigDecimal.valueOf', 'java.math.BigDecimal.divide', 'java.math.BigDecimal.intValue', 'java.lang.Double.toString', 'java.lang.Math.round']",-1,7
how to check if string contains '+' character,['java.lang.String.contains'],"['java.lang.Character.isLetterOrDigit', 'java.lang.String.contains', 'java.lang.String.trim', 'java.lang.Long.parseLong', 'java.lang.String.equals', 'java.lang.Double.valueOf', 'java.lang.String.toCharArray', 'java.lang.String.split', 'java.lang.Integer.parseInt', 'java.lang.String.indexOf']",2,1
best way to reverse bytes in an int in java,"['java.lang.Integer.reverse', 'java.lang.Double.doubleToLongBits', 'java.lang.Float.floatToIntBits', 'java.lang.Integer.reverseBytes']","['java.util.Collections.reverse', 'java.lang.Byte.toUnsignedInt', 'java.lang.Integer.reverse', 'java.lang.Integer.valueOf', 'java.lang.Byte.toUnsignedLong', 'java.util.Collections.reverseOrder', 'java.lang.String.valueOf', 'java.lang.StringBuilder.append', 'java.lang.StringBuilder.reverse', 'java.util.Arrays.binarySearch']",3,2
Programmatically determine which Java thread holds a lock,['java.lang.Thread.holdsLock'],"['java.lang.Thread.holdsLock', 'java.util.concurrent.locks.Lock.tryLock', 'java.util.concurrent.locks.ReentrantLock.isLocked', 'java.lang.Object.wait', 'java.nio.channels.FileChannel.tryLock', 'java.lang.Thread.currentThread', 'java.util.concurrent.locks.ReentrantLock.isHeldByCurrentThread', 'java.lang.Thread.start', 'java.util.concurrent.locks.LockSupport.park', 'java.lang.Thread.sleep']",1,1
Defensive copy of Calendar,['java.util.Calendar.getInstance'],"['java.time.LocalDate.plusWeeks', 'java.time.LocalDate.minusWeeks', 'java.util.Calendar.clone', 'java.lang.Object.clone', 'java.util.Calendar.add', 'java.util.Arrays.copyOf', 'java.lang.System.arraycopy', 'java.util.Calendar.get', 'java.time.LocalDate.now', 'java.util.GregorianCalendar.add']",-1,8
Get MAC address on local machine with Java,"['java.net.NetworkInterface.getHardwareAddress', 'java.net.NetworkInterface.getNetworkInterfaces']","['java.net.InetAddress.getLocalHost', 'java.util.Locale.getDefault', 'java.net.InetAddress.getHostName', 'java.net.NetworkInterface.getNetworkInterfaces', 'java.net.InetAddress.getAllByName', 'java.net.Socket.bind', 'java.net.InetAddress.getByName', 'java.io.File.listRoots', 'java.net.InetAddress.getHostAddress', 'java.net.InetAddress.getCanonicalHostName']",4,4
java escape parenthesis,['java.util.regex.Pattern.quote'],"['java.util.regex.Pattern.quote', 'java.lang.String.replaceAll', 'java.text.MessageFormat.format', 'java.util.regex.Pattern.compile', 'java.lang.String.replace', 'java.util.regex.Matcher.quoteReplacement', 'java.util.regex.Matcher.find', 'java.util.regex.Matcher.replaceAll', 'java.lang.String.valueOf', 'java.lang.String.matches']",1,1
