query,answer,rec_api,rank,original_rank
How to get the name of a class without the package,['java.lang.Class.getSimpleName'],"['java.lang.Class.forName', 'java.lang.Package.getName', 'java.lang.Class.getDeclaredField', 'java.lang.Class.getDeclaredMethods', 'java.lang.StackTraceElement.getClassName', 'java.lang.Class.getField', 'java.lang.Class.getDeclaredFields', 'java.lang.Class.isInstance', 'java.io.File.getName', 'java.lang.reflect.Field.getType']",-1,-1
Create intermediate folders if one doesn't exist,"['java.io.File.mkdir', 'java.io.File.mkdirs']","['java.io.File.createNewFile', 'java.nio.file.Files.createFile', 'java.nio.file.Files.createDirectories', 'java.io.File.listFiles', 'java.nio.file.Files.createTempDirectory', 'java.io.File.mkdirs', 'java.nio.file.Files.notExists', 'java.io.File.exists', 'java.io.File.getCanonicalPath', 'java.nio.file.Files.copy']",6,6
how to find before and after sub-string in a string,['java.lang.String.split'],"['java.lang.String.indexOf', 'java.lang.String.contains', 'java.lang.String.split', 'java.util.regex.Matcher.end', 'java.util.Arrays.toString', 'java.lang.String.substring', 'java.lang.String.toCharArray', 'java.util.regex.Matcher.find', 'java.util.Arrays.asList', 'java.lang.String.charAt']",3,2
Java Round up Any Number,['java.lang.Math.ceil'],"['java.math.BigDecimal.divide', 'java.lang.Math.round', 'java.lang.Math.ceil', 'java.lang.Math.floor', 'java.math.BigDecimal.setScale', 'java.text.DecimalFormat.format', 'java.lang.Math.log10', 'java.text.DecimalFormat.setRoundingMode', 'java.lang.Math.log', 'java.lang.Math.pow']",3,2
Creating a draw rectangle (filled with black color) function in Java for a grid,['java.awt.Graphics.fillRect'],"['java.awt.Graphics.getClipBounds', 'java.awt.Graphics.drawPolygon', 'java.awt.Graphics.drawLine', 'javax.swing.JComponent.repaint', 'java.awt.geom.Path2D.transform', 'java.awt.geom.Area.subtract', 'java.awt.Graphics2D.fill', 'java.awt.Graphics2D.draw', 'java.awt.geom.AffineTransform.createTransformedShape', 'javax.swing.JComponent.paintComponent']",-1,-1
Alternative to successive String.replace,"['java.lang.StringBuilder.replace', 'java.lang.String.replace', 'java.lang.String.regionMatches']","['java.lang.String.replaceFirst', 'java.lang.StringBuilder.toString', 'java.lang.String.replace', 'java.lang.Integer.parseInt', 'java.lang.String.indexOf', 'java.lang.String.replaceAll', 'java.util.regex.Matcher.replaceAll', 'java.lang.String.format', 'java.lang.String.split', 'java.lang.String.valueOf']",3,1
Handling passwords used for auth in source code,"['javax.swing.JPasswordField.getPassword', 'javax.swing.JPasswordField.getText']","['java.net.Authenticator.requestPasswordAuthentication', 'org.ietf.jgss.GSSContext.requestCredDeleg', 'javax.crypto.Mac.getInstance', 'javax.naming.ldap.LdapContext.reconnect', 'java.net.Authenticator.setDefault', 'java.io.File.toURL', 'javax.swing.JPasswordField.getPassword', 'java.lang.String.getBytes', 'javax.security.auth.Subject.doAs', 'java.net.URL.openConnection']",7,7
How to capture System.exit event,['java.lang.Runtime.addShutdownHook'],"['java.lang.Process.exitValue', 'java.lang.System.exit', 'java.lang.Runtime.exit', 'javax.swing.JFrame.setDefaultCloseOperation', 'java.lang.Process.waitFor', 'java.awt.event.MouseEvent.getClickCount', 'java.lang.Runtime.addShutdownHook', 'java.lang.Thread.join', 'java.lang.Runtime.exec', 'java.nio.file.WatchKey.reset']",7,5
How do I know if I'm on the event dispatch thread,"['java.lang.Runnable.run', 'javax.swing.SwingWorker.doInBackground', 'javax.swing.SwingUtilities.invokeLater']","['java.awt.EventQueue.invokeLater', 'javax.swing.SwingUtilities.isEventDispatchThread', 'java.awt.EventQueue.dispatchEvent', 'javax.swing.SwingUtilities.invokeAndWait', 'java.awt.Component.repaint', 'javax.swing.SwingUtilities.invokeLater', 'java.awt.EventQueue.postEvent', 'java.awt.EventQueue.createSecondaryLoop', 'java.lang.Thread.join', 'java.lang.Thread.interrupt']",6,3
Quickly square a double,['java.lang.Math.pow'],"['java.lang.Math.cbrt', 'java.lang.Math.pow', 'java.math.BigDecimal.valueOf', 'java.util.Scanner.nextDouble', 'java.lang.Math.round', 'java.lang.Number.doubleValue', 'java.lang.Math.abs', 'java.awt.geom.Area.contains', 'java.lang.Double.valueOf', 'java.lang.Integer.parseInt']",2,1
How to find time taken to run java program,['java.lang.System.nanoTime'],"['java.lang.System.0oTime', 'java.lang.System.currentTimeMillis', 'java.lang.Runtime.addShutdownHook', 'java.lang.System.exit', 'java.lang.ClassLoader.getSystemClassLoader', 'java.lang.Runtime.exec', 'java.util.concurrent.ScheduledExecutorService.scheduleAtFixedRate', 'java.lang.Process.waitFor', 'java.lang.Process.destroy', 'java.lang.Thread.sleep']",-1,-1
Close one JFrame without closing another,['javax.swing.JFrame.setDefaultCloseOperation'],"['javax.swing.SwingUtilities.invokeLater', 'javax.swing.JFrame.setDefaultCloseOperation', 'java.awt.event.WindowListener.windowClosed', 'javax.swing.JDialog.setDefaultCloseOperation', 'java.awt.Window.dispose', 'java.awt.event.WindowListener.windowClosing', 'java.lang.System.exit', 'java.lang.Runtime.addShutdownHook', 'java.awt.Window.getWindows', 'javax.swing.JDesktopPane.removeAll']",2,1
How to add elements of a Java8 stream into an existing List,"['java.util.List.addAll', 'java.util.stream.Collectors.toCollection', 'java.util.ArrayList.addAll', 'java.util.stream.Collector.supplier']","['java.util.stream.Stream.of', 'java.util.stream.Stream.toArray', 'java.util.stream.Collectors.toMap', 'java.util.stream.Collectors.toList', 'java.util.stream.IntStream.filter', 'java.util.stream.Stream.forEachOrdered', 'java.util.Arrays.asList', 'java.util.stream.Stream.generate', 'java.util.stream.IntStream.findFirst', 'java.util.ArrayList.get']",-1,-1
Java how to instantiate a class from string,"['java.lang.reflect.Constructor.newInstance', 'java.lang.Class.forName']","['java.lang.Class.getConstructors', 'java.lang.Class.getConstructor', 'java.lang.Class.newInstance', 'java.lang.Class.forName', 'java.lang.Double.parseDouble', 'java.lang.String.substring', 'java.lang.String.charAt', 'java.util.Locale.getISOLanguages', 'java.lang.String.split', 'java.lang.Class.getDeclaredConstructor']",4,1
"Java, how to change current database to another",['java.sql.Connection.setCatalog'],"['java.sql.DriverManager.getConnection', 'java.time.LocalDateTime.now', 'java.awt.Component.setCursor', 'java.sql.Statement.executeBatch', 'java.time.ZonedDateTime.now', 'java.sql.Connection.isValid', 'java.lang.System.getProperties', 'java.sql.Connection.setCatalog', 'java.time.Instant.now', 'java.util.Calendar.getInstance']",8,3
How do you crash a JVM,['java.lang.System.exit'],"['java.lang.Thread.stop', 'java.lang.Runtime.addShutdownHook', 'java.lang.System.exit', 'java.lang.Process.destroy', 'java.lang.Runtime.exit', 'java.lang.System.getProperties', 'java.lang.Thread.join', 'java.lang.Thread.interrupt', 'java.lang.management.ManagementFactory.getRuntimeMXBean', 'java.lang.System.gc']",3,3
Combine collect of list with single value using streams,"['java.util.stream.Stream.of', 'java.util.stream.Stream.concat']","['java.util.stream.Stream.flatMap', 'java.util.stream.Stream.of', 'java.util.stream.Collector.of', 'java.util.stream.Collectors.groupingBy', 'java.util.Arrays.stream', 'java.util.stream.Stream.collect', 'java.util.stream.Stream.concat', 'java.util.stream.Collectors.toMap', 'java.util.stream.Collectors.mapping', 'java.util.stream.Collectors.toList']",2,2
"How to use comparison operators like >, =, < on BigDecimal",['java.math.BigDecimal.compareTo'],"['java.math.BigInteger.equals', 'java.util.Comparator.comparing', 'java.math.BigDecimal.valueOf', 'java.math.BigInteger.intValue', 'java.lang.Math.round', 'java.lang.Integer.parseInt', 'java.util.Arrays.equals', 'java.util.Collections.sort', 'java.lang.Integer.intValue', 'java.util.AbstractList.equals']",-1,-1
Sort ArrayList of custom Objects by property,"['java.util.Comparator.comparing', 'java.util.List.sort']","['java.util.Collections.reverseOrder', 'java.util.Collections.sort', 'java.util.Arrays.sort', 'java.util.List.sort', 'java.util.ArrayList.toArray', 'java.lang.Comparable.compareTo', 'java.util.Arrays.stream', 'java.lang.String.compareTo', 'java.lang.Long.compare', 'java.lang.System.0oTime']",4,5
How to stop a thread created by implementing runnable interface,"['java.lang.Thread.sleep', 'java.lang.Thread.interrupted']","['java.lang.Runnable.run', 'java.util.concurrent.ExecutorService.shutdownNow', 'java.util.concurrent.ThreadPoolExecutor.shutdownNow', 'java.util.concurrent.ScheduledThreadPoolExecutor.shutdownNow', 'java.lang.Thread.run', 'java.lang.Thread.join', 'java.lang.Thread.stop', 'java.lang.Thread.start', 'java.lang.Thread.interrupt', 'java.util.concurrent.Future.cancel']",-1,-1
instantiate class from class object,"['java.lang.Class.getConstructors', 'java.lang.Class.getConstructor', 'java.lang.Class.newInstance']","['java.lang.reflect.Constructor.newInstance', 'java.lang.Class.forName', 'java.lang.Class.getConstructors', 'java.lang.Class.getConstructor', 'java.lang.Class.newInstance', 'java.lang.Class.getDeclaredConstructor', 'java.util.regex.Pattern.splitAsStream', 'java.lang.Enum.valueOf', 'java.util.ArrayList.toArray', 'java.lang.System.getProperty']",3,6
iterator for replacing list members in Java,"['java.util.List.listIterator', 'java.util.ListIterator.set']","['java.util.List.set', 'java.util.List.get', 'java.util.List.toArray', 'java.util.Iterator.remove', 'java.lang.Class.getDeclaredFields', 'java.util.Map.keySet', 'java.util.List.subList', 'java.lang.String.join', 'java.util.Arrays.asList', 'java.util.Map.values']",-1,-1
How to generate random array of ints using Stream API Java 8,['java.util.Random.ints'],"['java.util.stream.Stream.of', 'java.util.Random.ints', 'java.util.Random.nextInt', 'java.util.stream.Stream.toArray', 'java.util.stream.Stream.iterate', 'java.util.Arrays.stream', 'java.util.stream.IntStream.iterate', 'java.util.Collections.shuffle', 'java.util.stream.IntStream.toArray', 'java.lang.Math.random']",2,2
How to reuse application of filter & map on a Stream,['java.util.stream.Stream.flatMap'],"['java.util.stream.Collectors.toMap', 'java.util.stream.Stream.collect', 'java.util.regex.Pattern.splitAsStream', 'java.util.stream.Stream.of', 'java.util.stream.Stream.filter', 'java.util.stream.Stream.reduce', 'java.util.Collections.singletonMap', 'java.util.stream.Collectors.groupingBy', 'java.util.stream.Stream.findAny', 'java.util.stream.Collectors.reducing']",-1,-1
How to check if element exists using a lambda expression,['java.util.stream.Stream.anyMatch'],"['org.w3c.dom.Element.getElementsByTagName', 'java.util.regex.Pattern.compile', 'java.util.stream.Stream.of', 'org.w3c.dom.NodeList.getLength', 'java.util.stream.Stream.anyMatch', 'java.util.stream.Collectors.toMap', 'java.util.stream.IntStream.of', 'java.util.stream.Stream.filter', 'java.util.List.add', 'java.util.Arrays.binarySearch']",5,3
How to make a separated copy of an ArrayList,['java.util.ArrayList.clone'],"['java.lang.Object.clone', 'java.util.Arrays.toString', 'java.util.Collections.unmodifiableList', 'java.util.Collections.copy', 'java.util.Arrays.asList', 'java.util.Arrays.copyOf', 'java.lang.System.arraycopy', 'java.util.Collections.sort', 'java.util.Arrays.deepToString', 'java.util.Iterator.remove']",-1,-1
Instantiate a class object with constructor that accepts a string parameter,['java.lang.Class.newInstance'],"['java.lang.reflect.Constructor.newInstance', 'java.lang.Class.forName', 'java.lang.Class.getConstructors', 'java.lang.Class.getConstructor', 'java.lang.Class.newInstance', 'java.lang.String.substring', 'java.util.regex.Pattern.splitAsStream', 'java.lang.Class.isInstance', 'java.lang.String.intern', 'java.util.Arrays.copyOf']",5,4
How to make a symlink in Java when running in Linux,"['java.nio.file.Files.createSymbolicLink', 'java.lang.Runtime.exec']","['java.awt.Desktop.open', 'java.lang.Runtime.exec', 'java.nio.file.Files.createDirectory', 'java.lang.System.getProperties', 'java.nio.file.Files.createDirectories', 'java.lang.ProcessBuilder.directory', 'java.nio.file.spi.FileSystemProvider.createSymbolicLink', 'java.io.File.mkdir', 'java.io.File.getCanonicalPath', 'java.io.File.mkdirs']",2,3
JOptionPane to get password,['javax.swing.JOptionPane.showOptionDialog'],"['javax.swing.JOptionPane.showInputDialog', 'javax.swing.JOptionPane.showMessageDialog', 'javax.swing.JOptionPane.showConfirmDialog', 'javax.swing.JOptionPane.showOptionDialog', 'java.awt.Container.getFocusTraversalKeys', 'javax.swing.JOptionPane.setWantsInput', 'java.awt.Container.remove', 'java.lang.String.valueOf', 'java.awt.Container.add', 'javax.swing.SwingUtilities.invokeLater']",4,4
How to create a multipart zip file and read it back,['java.util.zip.ZipInputStream.getNextEntry'],"['java.util.zip.ZipFile.getInputStream', 'java.nio.file.Files.newBufferedWriter', 'java.nio.file.Files.write', 'java.net.URLConnection.getInputStream', 'java.nio.file.Files.walkFileTree', 'java.net.URL.toString', 'java.nio.file.Files.walk', 'java.nio.file.Path.resolve', 'java.lang.Class.getResourceAsStream', 'java.lang.System.getProperty']",-1,-1
How to check that a string is parseable to a double,['java.lang.Double.valueOf'],"['java.lang.Double.parseDouble', 'java.math.BigDecimal.valueOf', 'java.lang.Double.toString', 'java.lang.Double.valueOf', 'java.lang.Long.valueOf', 'java.lang.Integer.parseInt', 'java.lang.Float.toString', 'java.lang.String.valueOf', 'java.text.NumberFormat.parse', 'java.text.DecimalFormat.setParseBigDecimal']",4,6
How can I pad a String in Java,['java.lang.String.format'],"['java.lang.String.split', 'java.lang.String.toCharArray', 'java.lang.Long.parseLong', 'java.lang.Short.parseShort', 'java.lang.Integer.parseInt', 'java.lang.Byte.parseByte', 'javax.xml.bind.DatatypeConverter.printHexBinary', 'java.lang.String.format', 'java.lang.StringBuilder.append', 'java.util.Arrays.toString']",8,8
Tokenizing a String but ignoring delimiters within quotes,['java.lang.String.split'],"['java.util.regex.Pattern.quote', 'java.lang.String.split', 'java.lang.String.format', 'java.lang.String.replaceAll', 'java.lang.String.substring', 'java.util.Arrays.toString', 'java.lang.String.contains', 'java.lang.StringBuilder.deleteCharAt', 'java.lang.String.equals', 'java.util.regex.Matcher.find']",2,2
"Given a string in Java, just take the first X letters",['java.lang.String.substring'],"['java.lang.Integer.parseInt', 'java.lang.String.substring', 'java.lang.String.split', 'java.lang.Character.toLowerCase', 'java.lang.Character.toString', 'java.lang.String.replaceAll', 'java.lang.Long.parseLong', 'java.lang.String.toCharArray', 'java.lang.String.lastIndexOf', 'java.lang.String.valueOf']",2,4
Preferred Java way to ping an HTTP URL for availability,"['java.net.InetAddress.isReachable', 'java.net.HttpURLConnection.setRequestMethod']","['java.net.URL.openConnection', 'java.net.URLStreamHandler.openConnection', 'java.net.InetAddress.isReachable', 'javax.xml.ws.Service.getPort', 'java.net.Authenticator.setDefault', 'java.rmi.registry.LocateRegistry.createRegistry', 'java.net.URLConnection.connect', 'java.net.URLEncoder.encode', 'javax.imageio.ImageIO.read', 'javax.crypto.Cipher.init']",3,3
JFileChooser change default directory in Windows,['javax.swing.JFileChooser.setCurrentDirectory'],"['javax.swing.JFileChooser.setFileSelectionMode', 'javax.swing.JFileChooser.getCurrentDirectory', 'javax.swing.JFileChooser.setControlButtonsAreShown', 'javax.swing.UIManager.getDefaults', 'javax.swing.JFileChooser.getSelectedFile', 'java.io.File.list', 'java.nio.file.Files.newDirectoryStream', 'javax.swing.SwingUtilities.getWindowAncestor', 'javax.swing.UIManager.put', 'javax.swing.UIManager.getLookAndFeelDefaults']",-1,-1
How can I check if an InputStream is empty without reading from it,['java.io.InputStream.available'],"['javax.imageio.ImageIO.read', 'javax.sound.sampled.AudioSystem.getAudioInputStream', 'java.io.BufferedReader.read', 'java.util.stream.Stream.empty', 'javax.imageio.ImageIO.createImageInputStream', 'java.io.InputStream.close', 'java.nio.file.Files.lines', 'java.io.PipedOutputStream.write', 'java.io.PipedInputStream.receive', 'java.util.Collections.disjoint']",-1,-1
Replace part of a string between indexes in Java,['java.lang.String.substring'],"['java.lang.String.replaceAll', 'java.lang.String.replace', 'java.lang.String.indexOf', 'java.lang.String.replaceFirst', 'java.lang.String.valueOf', 'java.lang.String.toCharArray', 'java.util.regex.Matcher.appendReplacement', 'java.util.regex.Matcher.replaceAll', 'java.util.regex.Matcher.appendTail', 'java.util.regex.Matcher.quoteReplacement']",-1,-1
Java negative indexOf (counting from the end [length()] ),"['java.lang.String.indexOf', 'java.lang.String.lastIndexOf']","['java.lang.Integer.parseInt', 'java.lang.String.valueOf', 'java.lang.String.indexOf', 'java.lang.Long.parseLong', 'java.lang.Math.pow', 'java.lang.String.split', 'java.lang.String.length', 'java.lang.Math.log', 'java.lang.StringBuilder.delete', 'java.util.Collection.toArray']",3,2
Set System Property for JUnit Runner (Eclipse) to test a Spring Web App,['java.lang.System.setProperty'],"['java.lang.System.getProperty', 'java.lang.ClassLoader.getSystemResourceAsStream', 'java.util.Locale.setDefault', 'java.lang.Class.getResourceAsStream', 'java.lang.System.exit', 'java.sql.Connection.close', 'java.io.BufferedReader.readLine', 'null', 'null', 'null']",-1,-1
Waiting on a condition in a reentrant lock,['java.util.concurrent.locks.Condition.await'],"['java.util.concurrent.locks.ReentrantLock.newCondition', 'java.util.concurrent.locks.Condition.await', 'java.util.concurrent.locks.ReentrantLock.lock', 'java.util.concurrent.locks.ReentrantReadWriteLock.WriteLock.lock', 'java.util.concurrent.locks.Condition.signalAll', 'java.lang.Object.wait', 'java.util.concurrent.locks.ReentrantLock.unlock', 'java.lang.Thread.sleep', 'java.lang.Thread.start', 'java.util.Collections.synchronizedList']",2,2
How can I check if multiplying two numbers in Java will cause an overflow,['java.lang.Math.multiplyExact'],"['java.lang.Integer.parseInt', 'java.lang.Math.addExact', 'java.lang.Math.incrementExact', 'java.lang.Math.decrementExact', 'java.lang.Math.negateExact', 'java.lang.Math.subtractExact', 'java.lang.Math.toIntExact', 'java.lang.Math.multiplyExact', 'java.math.BigDecimal.divide', 'java.lang.Integer.valueOf']",8,8
How do I properly load a BufferedImage in java,['javax.imageio.ImageIO.read'],"['java.awt.image.Raster.createInterleavedRaster', 'java.awt.image.BufferedImage.setRGB', 'java.awt.image.BufferedImage.getColorModel', 'java.awt.image.ColorModel.getColorSpace', 'java.awt.image.Raster.createRaster', 'java.awt.Graphics.drawImage', 'javax.imageio.ImageIO.read', 'java.awt.Image.getScaledInstance', 'java.lang.ClassLoader.getSystemResource', 'java.awt.Component.repaint']",7,7
How can I iterate over the elements in Hashmap,"['java.util.HashMap.values', 'java.util.HashMap.keySet']","['java.util.Iterator.next', 'java.util.Map.entrySet', 'java.util.Iterator.remove', 'java.util.ArrayList.get', 'java.util.List.get', 'java.util.ArrayList.set', 'java.util.stream.Collectors.toMap', 'java.util.Collections.synchronizedList', 'java.util.Map.Entry.getValue', 'java.util.Map.computeIfAbsent']",-1,-1
How to ensure order of processing in java8 streams,"['java.util.stream.Stream.forEachOrdered', 'java.util.stream.Stream.iterate', 'java.util.stream.BaseStream.unordered', 'java.util.stream.Stream.forEach', 'java.util.stream.Stream.generate', 'java.util.stream.package-summary.Ordering']","['java.util.stream.Stream.of', 'java.util.stream.Stream.flatMap', 'java.nio.file.Files.lines', 'java.util.stream.Stream.distinct', 'java.util.stream.Stream.forEach', 'java.util.regex.Pattern.splitAsStream', 'java.util.concurrent.Executors.newWorkStealingPool', 'java.util.stream.Collectors.toList', 'java.util.stream.Stream.collect', 'java.util.List.spliterator']",5,4
How do I get a UTC Timestamp from Calendar,['java.util.Calendar.getTime'],"['java.util.Date.toString', 'java.util.Calendar.getTime', 'java.sql.Timestamp.getTime', 'java.util.Calendar.getInstance', 'java.sql.Timestamp.valueOf', 'java.time.Instant.now', 'java.text.DateFormat.setTimeZone', 'java.util.TimeZone.getAvailableIDs', 'java.sql.PreparedStatement.setTimestamp', 'java.text.DateFormat.format']",2,1
"How can I get the size of an array, a Collection, or a String in Java","['java.util.Collection.size', 'java.lang.String.length', 'java.util.Map.size']","['java.lang.Integer.valueOf', 'java.util.Arrays.toString', 'java.util.Arrays.asList', 'java.util.List.subList', 'java.lang.String.toCharArray', 'java.util.Collections.sort', 'java.lang.String.valueOf', 'java.util.Arrays.deepToString', 'java.lang.Byte.parseByte', 'java.lang.Integer.parseInt']",-1,-1
How to Find the Default Charset/Encoding in Java,['java.nio.charset.Charset.defaultCharset'],"['java.lang.String.getBytes', 'java.nio.charset.Charset.defaultCharset', 'java.nio.charset.Charset.availableCharsets', 'java.util.Base64.getEncoder', 'java.net.URLEncoder.encode', 'java.io.InputStreamReader.getEncoding', 'javax.security.cert.Certificate.getEncoded', 'java.nio.file.Files.write', 'java.io.DataOutputStream.writeUTF', 'java.lang.String.format']",2,2
How to obtain the start time and end time of a day,['java.time.LocalDate.atStartOfDay'],"['java.time.Period.between', 'java.time.LocalDate.ofEpochDay', 'java.time.LocalDate.of', 'java.time.LocalDate.atStartOfDay', 'java.time.LocalDate.now', 'java.time.LocalDateTime.now', 'java.time.ZonedDateTime.with', 'java.util.GregorianCalendar.getWeekYear', 'java.util.Calendar.getActualMaximum', 'java.util.Calendar.getFirstDayOfWeek']",4,5
How to insert NULL in mysql especially INT dataType,['java.sql.PreparedStatement.setNull'],"['java.sql.PreparedStatement.setInt', 'java.sql.PreparedStatement.setNull', 'java.sql.PreparedStatement.setTimestamp', 'java.sql.PreparedStatement.setTime', 'java.sql.DatabaseMetaData.getColumns', 'java.sql.PreparedStatement.setObject', 'java.sql.ResultSet.getInt', 'java.sql.Statement.executeBatch', 'java.sql.PreparedStatement.executeUpdate', 'java.sql.ResultSet.wasNull']",2,2
How do I schedule a task to run once,"['index.java', 'java.util.concurrent.ScheduledExecutorService.schedule', 'java.util.concurrent.Future.cancel']","['java.util.concurrent.Executors.newScheduledThreadPool', 'java.util.concurrent.Executors.newSingleThreadScheduledExecutor', 'java.util.concurrent.ExecutorService.shutdownNow', 'java.util.concurrent.Future.cancel', 'java.util.TimerTask.cancel', 'java.util.concurrent.ScheduledExecutorService.scheduleWithFixedDelay', 'java.util.concurrent.ScheduledExecutorService.scheduleAtFixedRate', 'java.util.concurrent.ExecutorService.awaitTermination', 'java.util.concurrent.ExecutorService.shutdown', 'java.util.concurrent.ThreadPoolExecutor.getQueue']",4,5
How to change JFrame icon,"['java.awt.Window.setIconImages', 'javax.swing.JFrame.setIconImage']","['javax.swing.AbstractButton.setSelectedIcon', 'javax.swing.JFrame.setDefaultLookAndFeelDecorated', 'javax.swing.JFrame.setIconImage', 'javax.swing.AbstractButton.setIcon', 'java.awt.TrayIcon.setImage', 'javax.swing.JOptionPane.showMessageDialog', 'java.awt.Window.setIconImages', 'java.awt.Component.setBounds', 'javax.swing.SwingUtilities.invokeLater', 'javax.swing.AbstractButton.setContentAreaFilled']",3,4
Calendar date to yyyy-MM-dd format in java,['java.util.Date.toString'],"['java.text.DateFormat.format', 'java.util.Date.toString', 'java.time.OffsetDateTime.parse', 'java.time.LocalDate.parse', 'java.sql.Timestamp.valueOf', 'java.time.ZonedDateTime.toString', 'java.time.YearMonth.parse', 'java.sql.Date.toLocalDate', 'java.util.Date.before', 'java.util.Date.after']",2,2
Checking if a class is java.lang.Enum,['java.lang.Class.isEnum'],"['java.lang.Class.isAssignableFrom', 'java.lang.Class.forName', 'java.util.EnumSet.noneOf', 'java.lang.Enum.valueOf', 'java.lang.Class.newInstance', 'java.lang.Class.cast', 'java.lang.Class.getMethod', 'java.lang.Object.hashCode', 'java.lang.Class.getEnumConstants', 'java.util.EnumSet.allOf']",-1,-1
"BigDecimal, precision and scale","['java.math.BigDecimal.scale', 'java.math.BigDecimal.precision']","['java.math.BigDecimal.divide', 'java.math.BigDecimal.scale', 'java.math.BigDecimal.setScale', 'java.math.BigDecimal.valueOf', 'java.math.BigDecimal.scaleByPowerOfTen', 'java.math.BigDecimal.movePointRight', 'java.math.BigDecimal.movePointLeft', 'java.math.BigDecimal.toPlainString', 'java.math.BigDecimal.equals', 'java.math.BigDecimal.stripTrailingZeros']",2,3
how to detect operating system language (locale) from java code,['java.util.Locale.getDefault'],"['java.lang.System.getProperties', 'java.util.Locale.getDefault', 'java.util.Locale.setDefault', 'java.lang.System.getenv', 'java.util.Locale.getLanguage', 'java.util.Locale.toString', 'java.util.Locale.getISO3Language', 'java.util.Locale.getAvailableLocales', 'java.io.File.listRoots', 'java.util.Locale.toLanguageTag']",2,2
How to dynamically monitor Java heap size,"['java.lang.Runtime.maxMemory', 'java.lang.Runtime.totalMemory']","['java.lang.management.ManagementFactory.getMemoryMXBean', 'java.lang.System.gc', 'java.lang.Runtime.freeMemory', 'java.awt.Component.getSize', 'java.lang.Runtime.totalMemory', 'javax.swing.plaf.ComponentUI.getMaximumSize', 'java.util.Arrays.copyOf', 'java.util.List.toArray', 'java.lang.Thread.start', 'java.lang.System.arraycopy']",5,5
Android - Check whether a value exist in an Array,"['java.util.List.contains', 'java.util.Arrays.asList']","['java.util.Arrays.binarySearch', 'java.lang.Object.equals', 'java.util.Arrays.equals', 'java.lang.Class.getDeclaredMethods', 'java.util.EnumSet.allOf', 'java.util.Arrays.asList', 'java.lang.Class.isInstance', 'java.util.List.isEmpty', 'java.lang.String.contains', 'java.lang.Integer.parseInt']",6,4
How do you escape colon (:) in Properties file,['java.util.Properties.store'],"['java.util.regex.Pattern.quote', 'java.util.regex.Matcher.quoteReplacement', 'java.util.Properties.store', 'java.util.Properties.load', 'java.lang.String.replaceAll', 'java.lang.String.replaceFirst', 'java.util.regex.Matcher.replaceAll', 'java.lang.String.split', 'java.nio.file.Paths.get', 'java.lang.String.replace']",3,2
Java 8 streams: process every possible pair of elements from list,['java.util.stream.Stream.flatMap'],"['java.util.stream.Stream.of', 'java.util.stream.Stream.flatMap', 'java.util.stream.Stream.iterate', 'java.util.stream.Stream.map', 'java.util.stream.Stream.mapToLong', 'java.util.stream.IntStream.boxed', 'java.util.stream.Collectors.toList', 'java.util.stream.Collectors.mapping', 'java.util.stream.Collectors.groupingBy', 'java.util.regex.Pattern.splitAsStream']",2,2
How to iterate through ArrayList of objects,['java.util.ArrayList.get'],"['java.util.List.listIterator', 'java.util.HashMap.values', 'java.util.Collections.synchronizedList', 'java.util.HashMap.keySet', 'java.util.ArrayList.toArray', 'java.util.Arrays.asList', 'java.util.List.get', 'java.util.Collections.sort', 'java.util.List.equals', 'java.util.List.remove']",-1,-1
How can I run my haskell functions through Java,['java.lang.Runtime.exec'],"['java.lang.Runtime.getRuntime', 'java.lang.Runtime.exec', 'java.lang.Process.getOutputStream', 'java.lang.System.exit', 'java.lang.Process.getInputStream', 'java.lang.Process.exitValue', 'java.lang.System.0oTime', 'java.sql.CallableStatement.registerOutParameter', 'java.util.stream.IntStream.flatMap', 'java.lang.Enum.valueOf']",2,2
How can I exchange the first and last characters of a string in Java,"['java.lang.String.replace', 'java.lang.String.substring']","['java.lang.Integer.toString', 'java.lang.String.charAt', 'java.lang.Byte.parseByte', 'java.lang.Short.parseShort', 'java.lang.String.toCharArray', 'java.lang.CharSequence.charAt', 'java.lang.String.lastIndexOf', 'java.lang.String.replaceAll', 'java.lang.StringBuffer.setLength', 'java.lang.StringBuilder.append']",-1,-1
How to get generic type information from getAnnotatedParameterTypes() in Java 8,"['java.lang.reflect.Executable.getAnnotatedParameterTypes', 'java.lang.reflect.Method.getGenericParameterTypes']","['java.lang.reflect.Method.invoke', 'java.lang.reflect.Field.getGenericType', 'java.lang.Class.getGenericInterfaces', 'java.lang.reflect.Method.getGenericParameterTypes', 'java.lang.reflect.ParameterizedType.getActualTypeArguments', 'java.lang.Class.getMethod', 'java.lang.Class.forName', 'java.lang.Class.isInstance', 'java.lang.Object.getClass', 'java.lang.Class.getDeclaredMethods']",4,4
getting file creator/owner attributes in Java,['java.nio.file.Files.getOwner'],"['org.w3c.dom.Element.getAttribute', 'org.w3c.dom.Node.getAttributes', 'java.nio.file.Files.setAttribute', 'org.w3c.dom.Node.getNodeValue', 'java.lang.System.getProperties', 'java.nio.file.Files.getAttribute', 'org.w3c.dom.Node.getChildNodes', 'java.nio.file.Files.getOwner', 'javax.swing.text.html.parser.Element.getAttributes', 'java.util.jar.JarFile.entries']",8,5
